observation_date,REAINTRATREARAT1YE
1982-01-01,4.34358480
1982-02-01,6.70684300
1982-03-01,7.67323810
1982-04-01,8.16635540
1982-05-01,8.26540550
1982-06-01,9.28602170
1982-07-01,7.45154700
1982-08-01,5.67198710
1982-09-01,3.30248340
1982-10-01,4.62968240
1982-11-01,5.75723950
1982-12-01,5.34963530
1983-01-01,4.69918930
1983-02-01,4.86952160
1983-03-01,5.30381690
1983-04-01,5.08796580
1983-05-01,5.29803120
1983-06-01,5.96062350
1983-07-01,4.72544950
1983-08-01,5.73898110
1983-09-01,5.47291380
1983-10-01,4.92586040
1983-11-01,4.61756170
1983-12-01,4.45117330
1984-01-01,5.35483190
1984-02-01,5.20461540
1984-03-01,5.60234410
1984-04-01,5.36433260
1984-05-01,5.37024530
1984-06-01,5.37616630
1984-07-01,6.29498690
1984-08-01,6.06695610
1984-09-01,6.43406740
1984-10-01,6.86463640
1984-11-01,6.38209390
1984-12-01,5.75477110
1985-01-01,5.13621670
1985-02-01,4.79282600
1985-03-01,4.54149360
1985-04-01,5.71717960
1985-05-01,4.98950490
1985-06-01,3.52091030
1985-07-01,4.46017150
1985-08-01,4.25833670
1985-09-01,4.11774730
1985-10-01,4.08268070
1985-11-01,4.20825250
1985-12-01,4.45881810
1986-01-01,4.29488410
1986-02-01,4.48317660
1986-03-01,5.31592260
1986-04-01,5.11601550
1986-05-01,4.96674130
1986-06-01,4.49154240
1986-07-01,3.50493680
1986-08-01,3.35509850
1986-09-01,2.99641290
1986-10-01,2.76604470
1986-11-01,2.69176570
1986-12-01,2.41788070
1987-01-01,2.48413290
1987-02-01,2.28603990
1987-03-01,3.29241540
1987-04-01,2.50409520
1987-05-01,2.10890030
1987-06-01,2.85414650
1987-07-01,2.26998560
1987-08-01,2.57361290
1987-09-01,2.37821020
1987-10-01,3.65368380
1987-11-01,3.43400670
1987-12-01,2.41275040
1988-01-01,2.47168430
1988-02-01,2.85749320
1988-03-01,2.69979000
1988-04-01,2.80511640
1988-05-01,2.90784510
1988-06-01,3.12711250
1988-07-01,2.51976500
1988-08-01,3.23874260
1988-09-01,3.35833630
1988-10-01,3.11955320
1988-11-01,3.04382550
1988-12-01,3.27055190
1989-01-01,3.25220860
1989-02-01,3.41076590
1989-03-01,3.46650770
1989-04-01,4.05675830
1989-05-01,4.50635940
1989-06-01,4.45379320
1989-07-01,3.90232120
1989-08-01,3.73376290
1989-09-01,3.96956770
1989-10-01,3.93519170
1989-11-01,3.86269160
1989-12-01,3.92125370
1990-01-01,3.82224230
1990-02-01,3.36711840
1990-03-01,4.43179570
1990-04-01,4.52712990
1990-05-01,4.30626600
1990-06-01,3.72363800
1990-07-01,4.28931890
1990-08-01,3.90242770
1990-09-01,2.85327940
1990-10-01,2.57517710
1990-11-01,2.06465650
1990-12-01,2.08943760
1991-01-01,2.68832760
1991-02-01,3.00589800
1991-03-01,2.83248230
1991-04-01,3.41511650
1991-05-01,3.15279120
1991-06-01,2.96284440
1991-07-01,2.86350750
1991-08-01,2.70176280
1991-09-01,2.63416980
1991-10-01,2.15856580
1991-11-01,2.06564660
1991-12-01,1.64026630
1992-01-01,1.50429280
1992-02-01,1.45465520
1992-03-01,1.36988450
1992-04-01,1.74984650
1992-05-01,1.49159080
1992-06-01,1.25285460
1992-07-01,1.25385840
1992-08-01,1.06869980
1992-09-01,0.98347453
1992-10-01,0.73632090
1992-11-01,0.90703369
1992-12-01,1.09956710
1993-01-01,0.90345318
1993-02-01,0.79552367
1993-03-01,0.55103927
1993-04-01,0.71185854
1993-05-01,0.60491925
1993-06-01,1.25552300
1993-07-01,0.83848638
1993-08-01,0.91406765
1993-09-01,0.76919008
1993-10-01,0.53441071
1993-11-01,0.72851590
1993-12-01,0.94794230
1994-01-01,0.88858704
1994-02-01,0.77513982
1994-03-01,0.33699727
1994-04-01,1.30459580
1994-05-01,1.55011750
1994-06-01,1.25383360
1994-07-01,1.48021810
1994-08-01,1.99615040
1994-09-01,2.03101840
1994-10-01,2.03094610
1994-11-01,2.04089860
1994-12-01,2.01401730
1995-01-01,2.32982810
1995-02-01,2.25730420
1995-03-01,2.16127930
1995-04-01,2.36221990
1995-05-01,3.71093360
1995-06-01,3.10988340
1995-07-01,2.43535030
1995-08-01,2.51839550
1995-09-01,2.20314530
1995-10-01,2.52767610
1995-11-01,2.32717580
1995-12-01,3.05439540
1996-01-01,2.41653340
1996-02-01,2.14358530
1996-03-01,2.59565560
1996-04-01,2.58769470
1996-05-01,2.30539510
1996-06-01,2.37647570
1996-07-01,2.67806080
1996-08-01,2.45370100
1996-09-01,2.67428960
1996-10-01,2.36091570
1996-11-01,2.15343490
1996-12-01,2.45361110
1997-01-01,2.14983000
1997-02-01,1.95379130
1997-03-01,2.42806580
1997-04-01,2.58341090
1997-05-01,2.59784350
1997-06-01,2.77497690
1997-07-01,2.93198090
1997-08-01,2.64664890
1997-09-01,2.84858720
1997-10-01,2.33297070
1997-11-01,2.16665380
1997-12-01,2.83529710
1998-01-01,2.65581340
1998-02-01,2.53064530
1998-03-01,2.69924950
1998-04-01,2.70722660
1998-05-01,2.59774460
1998-06-01,2.86986550
1998-07-01,2.26653150
1998-08-01,2.34616520
1998-09-01,2.23960010
1998-10-01,2.11769940
1998-11-01,2.01977820
1998-12-01,2.36395660
1999-01-01,1.97754850
1999-02-01,1.90742410
1999-03-01,2.43334450
1999-04-01,2.50242990
1999-05-01,2.16183750
1999-06-01,3.44903840
1999-07-01,2.54590720
1999-08-01,2.63163780
1999-09-01,2.71541290
1999-10-01,2.25767010
1999-11-01,2.16694580
1999-12-01,1.84404300
2000-01-01,2.65349890
2000-02-01,2.63962140
2000-03-01,2.65931000
2000-04-01,2.89569900
2000-05-01,2.78899800
2000-06-01,1.97824960
2000-07-01,3.35333640
2000-08-01,3.23888420
2000-09-01,3.00375470
2000-10-01,3.04657280
2000-11-01,2.75627540
2000-12-01,2.31883880
2001-01-01,3.12556130
2001-02-01,2.83425220
2001-03-01,3.61730110
2001-04-01,2.39777640
2001-05-01,1.86322210
2001-06-01,1.44539710
2001-07-01,1.69281700
2001-08-01,1.59373150
2001-09-01,0.25169635
2001-10-01,1.02547360
2001-11-01,1.05574580
2001-12-01,-0.19812037
2002-01-01,0.78737590
2002-02-01,0.85551172
2002-03-01,1.08039570
2002-04-01,0.53216094
2002-05-01,0.10822150
2002-06-01,0.44413012
2002-07-01,0.25558851
2002-08-01,0.18227988
2002-09-01,-0.01541029
2002-10-01,-0.19993985
2002-11-01,-0.27816716
2002-12-01,-0.06171805
2003-01-01,-0.19006412
2003-02-01,-0.18728049
2003-03-01,-0.17478652
2003-04-01,-0.10768997
2003-05-01,0.08037008
2003-06-01,-1.22201890
2003-07-01,-0.09244847
2003-08-01,0.09684109
2003-09-01,0.05638458
2003-10-01,-0.19647062
2003-11-01,-0.16354861
2003-12-01,-0.60214837
2004-01-01,-0.13765171
2004-02-01,-0.40138788
2004-03-01,-0.06433799
2004-04-01,-0.41226559
2004-05-01,-0.50688531
2004-06-01,-0.99233744
2004-07-01,-0.44661319
2004-08-01,-0.49146606
2004-09-01,-1.33238490
2004-10-01,-0.21069296
2004-11-01,-0.04377570
2004-12-01,1.17700150
2005-01-01,0.34105223
2005-02-01,0.53033359
2005-03-01,0.58317037
2005-04-01,0.48126552
2005-05-01,0.66765132
2005-06-01,0.82656544
2005-07-01,1.09123600
2005-08-01,1.27134700
2005-09-01,1.97526410
2005-10-01,1.18130550
2005-11-01,1.27227230
2005-12-01,0.86637481
2006-01-01,2.02267770
2006-02-01,2.12014590
2006-03-01,3.24640900
2006-04-01,2.09117090
2006-05-01,2.29525250
2006-06-01,2.38412450
2006-07-01,2.16458710
2006-08-01,2.15325800
2006-09-01,2.76977870
2006-10-01,2.82775340
2006-11-01,3.35348870
2006-12-01,3.44532640
2007-01-01,2.29426100
2007-02-01,2.48278340
2007-03-01,2.08109970
2007-04-01,2.06176470
2007-05-01,1.45303580
2007-06-01,1.08686540
2007-07-01,1.90748410
2007-08-01,2.13083890
2007-09-01,1.80619640
2007-10-01,1.70921060
2007-11-01,2.19277410
2007-12-01,1.49314140
2008-01-01,1.12055790
2008-02-01,0.29817483
2008-03-01,0.63290718
2008-04-01,0.06574427
2008-05-01,-0.38171377
2008-06-01,-0.36084469
2008-07-01,-0.81728214
2008-08-01,-1.47387050
2008-09-01,-1.01600200
2008-10-01,1.19478250
2008-11-01,2.78386870
2008-12-01,2.54899290
2009-01-01,2.02703460
2009-02-01,2.07874390
2009-03-01,3.24525050
2009-04-01,0.06938378
2009-05-01,0.06749577
2009-06-01,0.48903207
2009-07-01,-0.10306189
2009-08-01,-0.96508483
2009-09-01,-1.88670630
2009-10-01,-0.80983562
2009-11-01,-1.00561440
2009-12-01,-1.21965670
2010-01-01,-0.81215137
2010-02-01,-1.06732520
2010-03-01,-1.61830630
2010-04-01,-0.44425119
2010-05-01,-0.50458009
2010-06-01,-0.38416424
2010-07-01,-0.07004565
2010-08-01,-0.68622794
2010-09-01,-0.13733499
2010-10-01,-1.00223790
2010-11-01,-1.16548310
2010-12-01,-0.93692711
2011-01-01,-1.10898110
2011-02-01,-1.37308600
2011-03-01,-1.53354630
2011-04-01,-1.46878210
2011-05-01,-2.12289840
2011-06-01,-2.04385660
2011-07-01,-2.56603860
2011-08-01,-1.29618830
2011-09-01,-0.74655287
2011-10-01,-1.59565640
2011-11-01,-1.64115630
2011-12-01,-1.95413670
2012-01-01,-1.59499720
2012-02-01,-1.66254900
2012-03-01,-1.32757640
2012-04-01,-1.87389300
2012-05-01,-1.25001450
2012-06-01,-0.35978255
2012-07-01,-1.21090770
2012-08-01,-1.16579480
2012-09-01,-2.12467250
2012-10-01,-1.67924670
2012-11-01,-1.51823980
2012-12-01,-2.48971230
2013-01-01,-1.11616370
2013-02-01,-0.94603683
2013-03-01,0.48887020
2013-04-01,-0.77068502
2013-05-01,-0.51296752
2013-06-01,-0.68342236
2013-07-01,-0.16887147
2013-08-01,-1.57304500
2013-09-01,-1.35603460
2013-10-01,-1.07562530
2013-11-01,-1.01729450
2013-12-01,-1.91457370
2014-01-01,-1.34525250
2014-02-01,-1.40151350
2014-03-01,-0.87407667
2014-04-01,-1.32158430
2014-05-01,-1.52038790
2014-06-01,-1.19028930
2014-07-01,-1.78356220
2014-08-01,-1.31988030
2014-09-01,-1.97205230
2014-10-01,-1.11007930
2014-11-01,-0.34990728
2014-12-01,-2.50329180
2015-01-01,1.12397490
2015-02-01,1.54236930
2015-03-01,0.91614976
2015-04-01,-0.83404213
2015-05-01,-0.98806997
2015-06-01,-1.18205955
2015-07-01,-1.26470300
2015-08-01,-1.30288050
2015-09-01,-1.74613640
2015-10-01,-0.84535881
2015-11-01,-0.73988133
2015-12-01,-0.72996474
2016-01-01,-0.87219070
2016-02-01,-0.21080726
2016-03-01,0.20280334
2016-04-01,-1.18731654
2016-05-01,-1.17368690
2016-06-01,-0.55190959
2016-07-01,-1.50103723
2016-08-01,-1.41616467
2016-09-01,-2.20417488
2016-10-01,-1.65360405
2016-11-01,-1.88065568
2016-12-01,-2.25275783
2017-01-01,-1.37086914
2017-02-01,-1.18188446
2017-03-01,-0.15871639
2017-04-01,-0.56455297
2017-05-01,-0.40602435
2017-06-01,0.68431521
2017-07-01,-0.44468298
2017-08-01,-0.37064119
2017-09-01,-1.01705756
2017-10-01,-0.83785636
2017-11-01,-0.98384247
2017-12-01,-2.81708626
2018-01-01,-0.77726570
2018-02-01,-0.83055203
2018-03-01,1.34333197
2018-04-01,0.77551332
2018-05-01,0.43880137
2018-06-01,0.75638472
2018-07-01,-0.12973530
2018-08-01,-0.11489998
2018-09-01,-0.68478285
2018-10-01,-0.18193060
2018-11-01,0.11522289
2018-12-01,0.48206827
2019-01-01,0.59518209
2019-02-01,0.56831863
2019-03-01,5.69992870
2019-04-01,3.11685814
2019-05-01,1.86934498
2019-06-01,1.84771863
2019-07-01,1.05216750
2019-08-01,0.64538988
2019-09-01,0.28409933
2019-10-01,-0.04052344
2019-11-01,-0.22348679
2019-12-01,-0.28927221
2020-01-01,-0.59602385
2020-02-01,-0.54217106
2020-03-01,3.35421645
2020-04-01,3.23944367
2020-05-01,2.87932085
2020-06-01,1.41774102
2020-07-01,-0.74405804
2020-08-01,-1.24438508
2020-09-01,-1.31528359
2020-10-01,-1.20327548
2020-11-01,-1.34746957
2020-12-01,-1.83847259
2021-01-01,-1.61108806
2021-02-01,-2.03085035
2021-03-01,-1.50202356
2021-04-01,-1.52838991
2021-05-01,-1.70438715
2021-06-01,-1.92139542
2021-07-01,-2.01792543
2021-08-01,-3.20561303
2021-09-01,-3.47182721
2021-10-01,-1.84043425
2021-11-01,-2.60001778
2021-12-01,-2.92875407
2022-01-01,-2.23245881
2022-02-01,-2.64867235
2022-03-01,-2.99804380
2022-04-01,-3.28578549
2022-05-01,-3.25642212
2022-06-01,-3.96642481
2022-07-01,-1.40330475
2022-08-01,-1.47068045
2022-09-01,-2.58910241
2022-10-01,0.02713679
2022-11-01,0.24964310
2022-12-01,0.82794740
2023-01-01,1.35596652
2023-02-01,1.43385141
2023-03-01,2.60005624
2023-04-01,1.24802557
2023-05-01,1.14790584
2023-06-01,8.00560278
2023-07-01,5.10470969
2023-08-01,4.30642606
2023-09-01,3.32253749
2023-10-01,3.18287590
2023-11-01,2.78276472
2023-12-01,1.62638336
2024-01-01,2.50688884
2024-02-01,2.39577672
2024-03-01,3.03562019
2024-04-01,2.08463671
2024-05-01,1.95360900
2024-06-01,2.31716057
2024-07-01,2.51346602
2024-08-01,2.54035805
2024-09-01,2.44549567
2024-10-01,2.21150878
2024-11-01,2.05395226
2024-12-01,1.59451322
2025-01-01,1.63540527
2025-02-01,1.37355842
