month,business apps,real interest rate (%),unemp. ins. ($ bil),unemp. rate (%)
2004-07-01,159034,-0.44661319,35.0,5.5
2004-08-01,191673,-0.49146606,34.9,5.4
2004-09-01,190868,-1.3323849,34.2,5.4
2004-10-01,190626,-0.21069296,33.3,5.5
2004-11-01,211251,-0.0437757,32.9,5.4
2004-12-01,193836,1.1770015,32.5,5.4
2005-01-01,203534,0.34105223,32.7,5.3
2005-02-01,204535,0.53033359,31.9,5.4
2005-03-01,201700,0.58317037,31.6,5.2
2005-04-01,203983,0.48126552,30.9,5.2
2005-05-01,203401,0.66765132,30.9,5.1
2005-06-01,209615,0.82656544,30.9,5.0
2005-07-01,207448,1.091236,30.9,5.0
2005-08-01,204303,1.271347,30.9,4.9
2005-09-01,184171,1.9752641,32.8,5.0
2005-10-01,230042,1.1813055,33.5,5.0
2005-11-01,222495,1.2722723,32.2,5.0
2005-12-01,234221,0.86637481,32.0,4.9
2006-01-01,218466,2.0226777,30.8,4.7
2006-02-01,225936,2.1201459,30.3,4.8
2006-03-01,222573,3.246409,29.8,4.7
2006-04-01,223168,2.0911709,29.4,4.7
2006-05-01,221849,2.2952525,29.4,4.6
2006-06-01,217751,2.3841245,29.7,4.6
2006-07-01,219666,2.1645871,30.5,4.7
2006-08-01,218558,2.153258,30.7,4.7
2006-09-01,211803,2.7697787,30.5,4.5
2006-10-01,206248,2.8277534,30.6,4.4
2006-11-01,202280,3.3534887,31.2,4.5
2006-12-01,247474,3.4453264,31.5,4.4
2007-01-01,208770,2.294261,32.1,4.6
2007-02-01,217822,2.4827834,32.7,4.5
2007-03-01,216126,2.0810997,32.0,4.4
2007-04-01,214397,2.0617647,32.0,4.5
2007-05-01,220440,1.4530358,31.6,4.4
2007-06-01,221338,1.0868654,31.9,4.6
2007-07-01,220866,1.9074841,32.8,4.7
2007-08-01,218064,2.1308389,32.9,4.6
2007-09-01,226061,1.8061964,32.8,4.7
2007-10-01,232630,1.7092106,33.2,4.7
2007-11-01,213484,2.1927741,33.7,4.7
2007-12-01,245556,1.4931414,35.2,5.0
2008-01-01,208848,1.1205579,35.6,5.0
2008-02-01,210463,0.29817483,36.2,4.9
2008-03-01,220328,0.63290718,37.1,5.1
2008-04-01,219159,0.06574427,37.6,5.0
2008-05-01,215730,-0.38171377,38.1,5.4
2008-06-01,210507,-0.36084469,39.0,5.6
2008-07-01,209704,-0.81728214,45.2,5.8
2008-08-01,222233,-1.4738705,62.9,6.1
2008-09-01,210480,-1.016002,66.5,6.1
2008-10-01,204785,1.1947825,65.1,6.5
2008-11-01,204519,2.7838687,66.6,6.8
2008-12-01,187029,2.5489929,83.9,7.3
2009-01-01,208348,2.0270346,93.0,7.8
2009-02-01,195440,2.0787439,100.0,8.3
2009-03-01,198658,3.2452505,111.7,8.7
2009-04-01,198884,0.06938378,121.8,9.0
2009-05-01,199777,0.06749577,130.7,9.4
2009-06-01,202944,0.48903207,138.5,9.5
2009-07-01,207224,-0.10306189,140.6,9.5
2009-08-01,201371,-0.96508483,145.5,9.6
2009-09-01,205856,-1.8867063,147.1,9.8
2009-10-01,203325,-0.80983562,144.2,10.0
2009-11-01,207656,-1.0056144,146.3,9.9
2009-12-01,201220,-1.2196567,155.2,9.9
2010-01-01,201825,-0.81215137,161.4,9.8
2010-02-01,202672,-1.0673252,158.7,9.8
2010-03-01,203410,-1.6183063,157.9,9.9
2010-04-01,206262,-0.44425119,148.7,9.9
